시장	업종구분	종목명	종목코드	시가총액	유통비율
시장	업종구분	종목명	종목코드	시가총액	유통비율
K	유통	포스코인터내셔널	'047050	"88,137"	"26.1"
Q	'섬유/의류	코데즈컴바인	'047770	"733"	"39.4"
Q	'전기/전자	유라테크	'048430	"1,052"	"29.7"
Q	일반서비스	SM C&C	'048550	"1,403"	"46.1"
Q	'기계/장비	TPC	'048770	"303"	"49.9"
Q	'전기/전자	파인디앤씨	'049120	"493"	"42.9"
Q	'전기/전자	유아이엘	'049520	"1,196"	"47.8"
Q	일반서비스	고려신용정보	'049720	"1,466"	"48.6"
K	'음식료/담배	동원F&B	'049770	"7,786"	"25.6"
Q	금속	승일	'049830	"537"	"22.6"
Q	제약	쎌바이오텍	'049960	"1,258"	"47.8"
Q	유통	ES큐브	'050120	"380"	"47.1"
Q	IT 서비스	수산아이앤티	'050960	"778"	"37.9"
Q	유통	YW	'051390	"429"	"46.5"
K	건설	한전KPS	'051600	"22,725"	"48.0"
K	화학	진양화학	'051630	"438"	"31.8"
Q	유통	큐로홀딩스	'051780	"213"	"40.3"
Q	'오락/문화	iMBC	'052220	"881"	"41.9"
Q	'전기/전자	코텍	'052330	"1,615"	"31.9"
K	일반서비스	한전기술	'052690	"39,787"	"46.4"
Q	IT 서비스	액토즈소프트	'052790	"763"	"45.3"
Q	'기계/장비	케이엔솔	'053080	"1,586"	"47.2"
K	'오락/문화	스카이라이프	'053210	"2,281"	"48.9"
Q	금속	금강철강	'053260	"773"	"30.7"
Q	'운송장비/부품	구영테크	'053270	"618"	"49.5"
Q	유통	예스24	'053280	"1,030"	"44.2"
Q	IT 서비스	한국정보인증	'053300	"3,641"	"38.3"
Q	IT 서비스	이니텍	'053350	"1,898"	"44.7"
Q	금속	태양	'053620	"585"	"30.1"
Q	'전기/전자	한국컴퓨터	'054040	"796"	"40.0"
Q		농우바이오	'054050	"1,315"	"42.1"
Q	금속	케이피티유	'054410	"211"	"43.8"
Q	일반서비스	아이디스홀딩스	'054800	"1,149"	"29.3"
Q	일반서비스	유신	'054930	"774"	"49.5"
Q	'기계/장비	유진로봇	'056080	"3,785"	"48.6"
Q	'기계/장비	에스에프에이	'056190	"7,559"	"35.4"
Q	건설	CNT85	'056730	"611"	"49.0"
K	유통	현대홈쇼핑	'057050	"6,564"	"36.0"
Q		푸른소나무	'057880	"2,161"	"48.4"
K	금속	포스코스틸리온	'058430	"2,412"	"43.0"
K	금속	세아홀딩스	'058650	"4,032"	"16.7"
Q	일반서비스	인선이엔티	'060150	"2,715"	"49.3"
Q	건설	LS마린솔루션	'060370	"9,458"	"29.1"
Q	금속	동양에스텍	'060380	"275"	"42.2"
Q	유통	홈센타홀딩스	'060560	"1,025"	"44.6"
Q	'오락/문화	드림어스컴퍼니	'060570	"1,369"	"28.1"
K	'전기/전자	산일전기	'062040	"21,129"	"39.5"
K	IT 서비스	LG씨엔에스	'064400	"61,910"	"28.2"
Q	'전기/전자	테크엘	'064520	"463"	"44.7"
Q	비금속	티씨케이	'064760	"11,663"	"47.3"
K	'운송장비/부품	SNT모티브	'064960	"7,856"	"43.5"
Q	통신	와이어블	'065530	"700"	"45.1"
Q	'전기/전자	서호전기	'065710	"2,047"	"28.9"
Q	'전기/전자	하츠	'066130	"660"	"47.5"
Q	'음식료/담배	체리부로	'066360	"384"	"37.5"
Q	건설	국보디자인	'066620	"1,470"	"35.0"
Q	'전기/전자	디티씨	'066670	"613"	"49.1"
Q	'전기/전자	디에이피	'066900	"595"	"22.8"
Q	일반서비스	멀티캠퍼스	'067280	"2,145"	"37.5"
Q	'운송장비/부품	아스트	'067390	"2,252"	"29.6"
Q	IT 서비스	로지시스	'067730	"348"	"45.0"
K	유통	세이브존I&C	'067830	"1,106"	"39.1"
K	'오락/문화	삼성출판사	'068290	"1,700"	"39.2"
Q	제약	셀트리온제약	'068760	"21,839"	"44.6"
Q	일반서비스	디지털대성	'068930	"2,073"	"39.0"
Q	'전기/전자	에스텍	'069510	"1,717"	"27.7"
K	제약	대웅제약	'069620	"18,342"	"37.9"
K	유통	한세엠케이	'069640	"391"	"17.8"
K	금속	DSR제강	'069730	"533"	"48.4"
K	금속	하이스틸	'071090	"843"	"46.5"
K	'전기/가스	지역난방공사	'071320	"9,136"	"20.3"
K	유통	롯데하이마트	'071840	"1,882"	"32.4"
Q	'운송장비/부품	우리산업홀딩스	'072470	"613"	"21.4"
K	금융	농심홀딩스	'072710	"3,812"	"33.3"
Q	'기계/장비	케이에스피	'073010	"1,738"	"40.0"
Q	'전기/전자	엘엠에스	'073110	"576"	"31.9"
Q	기타제조	듀오백	'073190	"269"	"48.6"
K	화학	금호타이어	'073240	"12,568"	"35.4"
